,origin.tree$tip.label
759,Spiraea_chinensis
760,Spiraea_media
761,Spiraea_prunifolia
762,Spiraea_dahurica
763,Spiraea_veitchii
764,Spiraea_sericea
765,Aruncus_dioicus
766,Sorbaria_arborea
767,Sorbaria_sorbifolia
768,Prunus_angustifolia
769,Prunus_umbellata
770,Prunus_nigra
771,Prunus_salicina
772,Prunus_japonica
773,Prunus_humilis
774,Prunus_armeniaca
775,Prunus_glandulosa
776,Prunus_davidiana
777,Prunus_mume
778,Prunus_persica
779,Prunus_serrulata
780,Prunus_subhirtella
781,Prunus_discoidea
782,Prunus_tatsienensis
783,Prunus_polytricha
784,Prunus_conradinae
785,Prunus_maackii
786,Prunus_schneideriana
787,Prunus_pensylvanica
788,Prunus_maximowiczii
789,Prunus_avium
790,Prunus_caroliniana
791,Prunus_virginiana
792,Prunus_buergeriana
793,Prunus_wilsonii
794,Prunus_incisoserrata
795,Prunus_serotina
796,Prunus_spinulosa
797,Prunus_padus
798,Prunus_grayana
799,Prunus_cerasoides_var._campanulata
800,Prunus_phaeosticta
801,Prunus_undulata
802,Prunus_brachypoda
803,Prunus_obtusata
804,Prunus_sachalinensis
805,Prunus_dictyoneura
806,Prunus_leveilleana
807,Prunus_sp.
808,Prunus_nikaii
809,Neillia_hanceana
810,Physocarpus_amurensis
811,Physocarpus_opulifolius
812,Rhodotypos_scandens
813,Kerria_japonica
814,Exochorda_racemosa
815,Exochorda_serratifolia
816,Exochorda_giraldii_var._wilsonii
817,Prinsepia_sinensis
818,Broussonetia_kazinoki
819,Broussonetia_kaempferi
820,Broussonetia_papyrifera
821,Broussonetia_kaempferi_var._australis
822,Fatoua_villosa
823,Fatoua_pilosa
824,Ficus_sarmentosa_var._nipponica
825,Ficus_sarmentosa_var._impressa
826,Ficus_sarmentosa_var._henryi
827,Ficus_erecta
828,Ficus_heteromorpha
829,Ficus_pumila
830,Ficus_sarmentosa
831,Ficus_henryi
832,Ficus_virens
833,Ficus_pandurata
834,Ficus_tikoua
835,Ficus_gasparriniana_var._viridescens
836,Maclura_cochinchinensis
837,Maclura_tricuspidata
838,Morus_rubra
839,Morus_cathayana
840,Morus_mongolica
841,Morus_alba
842,Morus_australis
843,Pilea_angulata_subsp._petiolaris
844,Pilea_martinii
845,Pilea_peploides
846,Pilea_pumila
847,Pilea_japonica
848,Pilea_swinglei
849,Pilea_microphylla
850,Pilea_sinofasciata
851,Pilea_notata
852,Pilea_monilifera
853,Pilea_cavaleriei
854,Pilea_angulata
855,Pellionia_minima
856,Pellionia_radicans
857,Pellionia_scabra
858,Elatostema_nasutum
859,Elatostema_stewardii
860,Elatostema_obtusum
861,Elatostema_sessile
862,Elatostema_sinense
863,Elatostema_megacephalum
864,Elatostema_myrtillus
865,Elatostema_parvum
866,Elatostema_cuspidatum
867,Nanocnide_japonica
868,Nanocnide_lobata
869,Urtica_chamaedryoides
870,Urtica_laetevirens
871,Urtica_fissa
872,Urtica_dioica
873,Urtica_angustifolia
874,Urtica_cannabina
875,Girardinia_diversifolia
876,Laportea_macrostachya
877,Laportea_cuspidata
878,Laportea_bulbifera
879,Laportea_canadensis
880,Pouzolzia_zeylanica
881,Gonostegia_hirta
882,Chamabainia_cuspidata
883,Boehmeria_platanifolia
884,Boehmeria_longispica
885,Boehmeria_gracilis
886,Boehmeria_silvestrii
887,Boehmeria_tricuspis
888,Boehmeria_formosana
889,Boehmeria_cylindrica
890,Boehmeria_spicata
891,Boehmeria_nivea
892,Boehmeria_clidemioides_var._diffusa
893,Parietaria_micrantha
894,Oreocnide_frutescens
895,Humulus_lupulus
896,Humulus_scandens
897,Cannabis_sativa
898,Pteroceltis_tatarinowii
899,Trema_cannabina_var._dielsiana
900,Celtis_tetrandra
901,Celtis_occidentalis_var._georgiana
902,Celtis_occidenialis
903,Celtis_sinensis
904,Celtis_koraiensis
905,Celtis_julianae
906,Celtis_bungeana
907,Celtis_biondii
908,Celtis_vandervoetiana
909,Aphananthe_aspera
910,Ulmus_macrocarpa
911,Ulmus_pumila
912,Ulmus_rubra
913,Ulmus_parvifolia
914,Ulmus_alata
915,Ulmus_americana
916,Ulmus_laciniata
917,Ulmus_changii
918,Ulmus_bergmanniana
919,Ulmus_elongata
920,Ulmus_davidiana_var._japonica
921,Zelkova_schneideriana
922,Zelkova_serrata
923,Hemiptelea_davidii
924,Hovenia_dulcis
925,Hovenia_acerba
926,Hovenia_trichocarpa
927,Hovenia_trichocarpa_var._robusta
928,Paliurus_hemsleyanus
929,Ceanothus_microphyllus
930,Ceanothus_americanus
931,Rhamnus_crenata
932,Rhamnus_ussuriensis
933,Rhamnus_parvifolia
934,Rhamnus_koraiensis
935,Rhamnus_cathartica
936,Rhamnus_utilis
937,Rhamnus_globosa
938,Rhamnus_davurica
939,Frangula_henryi
940,Frangula_caroliniana
941,Rhamnus_frangula
942,Rhamnus_arguta
943,Rhamnus_leptophylla
944,Rhamnus_wilsonii
945,Rhamnus_diamantiaca
946,Rhamnus_lamprophylla
947,Rhamnus_leptacantha
948,Rhamnella_franguloides
949,Berchemia_scandens
950,Berchemia_floribunda
951,Berchemia_huana
952,Berchemia_kulingensis
953,Berchemia_sinica
954,Berchemia_flavescens
955,Berchemia_polyphylla
956,Sageretia_thea
957,Hippophae_rhamnoides
958,Elaeagnus_pungens
959,Elaeagnus_multiflora
960,Elaeagnus_difficilis
961,Elaeagnus_glabra
962,Elaeagnus_umbellata
963,Elaeagnus_umbellata_var._parvifolia
964,Galactia_mollis
965,Galactia_elliottii
966,Caesalpinia_vernalis
967,Biancaea_decapetala
968,Mimosa_quadrivalvis_var._angustata
969,Mimosa_microphylla
970,Mimosa_quadrivalvis
971,Albizia_julibrissin
972,Albizia_kalkora
973,Senna_obtusifolia
974,Cassia_hebecarpa
975,Senna_nomame
976,Chamaecrista_nictitans_var._aspera
977,Chamaecrista_fasciculata
978,Cassia_fasciculata
979,Gleditsia_sinensis
980,Gleditsia_microphylla
981,Gymnocladus_chinensis
982,Dalea_feayi
983,Dalea_pinnata_var._pinnata
984,Amorpha_fruticosa
985,Amorpha_herbacea
986,Lotus_corniculatus
987,Securigera_varia
988,Sesbania_punicea
989,Robinia_pseudoacacia
990,Astragalus_membranaceus
991,Astragalus_uliginosus
992,Astragalus_stevenianus
993,Astragalus_scaberrimus
994,Astragalus_trichopodus
995,Astragalus_melilotoides
996,Astragalus_hancockii
997,Oxytropis_anertii
998,Astragalus_obcordatus
999,Astragalus_sinicus
1000,Astragalus_complanatus
1001,Hedysarum_ussuriense
1002,Caragana_sinica
1003,Caragana_rosea
1004,Caragana_jubata
1005,Caragana_pekinensis
1006,Caragana_arborescens
1007,Gueldenstaedtia_verna_subsp._multiflora
1008,Gueldenstaedtia_stenophylla
1009,Trifolium_campestre
1010,Trifolium_aureum
1011,Trifolium_repens
1012,Trifolium_pratense
1013,Trifolium_arvense
1014,Trifolium_lupinaster
1015,Medicago_sativa
1016,Medicago_polymorpha
1017,Medicago_ruthenica
1018,Medicago_lupulina
1019,Melilotus_officinalis_subsp._alba
1020,Melilotus_officinalis
1021,Melilotus_albus
1022,Melilotus_officinalis_subsp._suaveolens
1023,Vicia_sativa_subsp._nigra
1024,Vicia_sativa
1025,Vicia_ramuliflora
1026,Vicia_amurensis
1027,Vicia_unijuga
1028,Vicia_amoena
1029,Vicia_cracca
1030,Vicia_caroliniana
1031,Vicia_pseudo-orobus
1032,Vicia_hirsuta
1033,Vicia_nigricans
1034,Vicia_tetrasperma
1035,Lathyrus_komarovii
1036,Lathyrus_odoratus
1037,Lathyrus_davidii
1038,Lathyrus_quinquenervius
1039,Lathyrus_humilis
1040,Lathyrus_palustris
