"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Rhododendron calendulaceum Torr.",-80.523514,37.375764,"Rhododendron calendulaceum Torr.","Ericales","Ericaceae","Rhododendron","Rhododendron calendulaceum","Rhododendron","calendulaceum","United States of America"
"Glechoma hederacea L.",-80.524515,37.375572,"Glechoma hederacea L.","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Glechoma","hederacea","United States of America"
"Sassafras albidum (Nutt.) Nees",-80.522747,37.375136,"Sassafras albidum (Nutt.) Nees","Laurales","Lauraceae","Sassafras","Sassafras albidum","Sassafras","albidum","United States of America"
"Polystichum acrostichoides (Michx.) Schott",-80.522747,37.375136,"Polystichum acrostichoides (Michx.) Schott","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides","Polystichum","acrostichoides","United States of America"
"Acer rubrum L.",-80.521879,37.375096,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Cypripedium acaule Aiton",-80.52042,37.369383,"Cypripedium acaule Aiton","Asparagales","Orchidaceae","Cypripedium","Cypripedium acaule","Cypripedium","acaule","United States of America"
"Goodyera pubescens R.Br.",-80.521942,37.376938,"Goodyera pubescens R.Br.","Asparagales","Orchidaceae","Goodyera","Goodyera pubescens","Goodyera","pubescens","United States of America"
"Goodyera pubescens R.Br.",-80.52042,37.369383,"Goodyera pubescens R.Br.","Asparagales","Orchidaceae","Goodyera","Goodyera pubescens","Goodyera","pubescens","United States of America"
"Arisaema triphyllum (L.) Schott",-80.522747,37.375136,"Arisaema triphyllum (L.) Schott","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Arisaema","triphyllum","United States of America"
"Phleum pratense L.",-80.522462,37.37407,"Phleum pratense L.","Poales","Poaceae","Phleum","Phleum pratense","Phleum","pratense","United States of America"
"Asclepias syriaca L.",-80.522505,37.374317,"Asclepias syriaca L.","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Asclepias","syriaca","United States of America"
"Amianthium muscitoxicum (Walter) A.Gray",-80.522747,37.375136,"Amianthium muscitoxicum (Walter) A.Gray","Liliales","Melanthiaceae","Amianthium","Amianthium muscitoxicum","Amianthium","muscitoxicum","United States of America"
"Monotropa uniflora L.",-80.52042,37.369383,"Monotropa uniflora L.","Ericales","Ericaceae","Monotropa","Monotropa uniflora","Monotropa","uniflora","United States of America"
"Chimaphila maculata Pursh",-80.523659,37.375744,"Chimaphila maculata Pursh","Ericales","Ericaceae","Chimaphila","Chimaphila maculata","Chimaphila","maculata","United States of America"
"Rubus hispidus L.",-80.522747,37.375136,"Rubus hispidus L.","Rosales","Rosaceae","Rubus","Rubus hispidus","Rubus","hispidus","United States of America"
"Dryopteris marginalis (L.) A.Gray",-80.51826,37.35949,"Dryopteris marginalis (L.) A.Gray","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis","Dryopteris","marginalis","United States of America"
"Dryopteris carthusiana (Vill.) H.P.Fuchs",-80.51826,37.35949,"Dryopteris carthusiana (Vill.) H.P.Fuchs","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana","Dryopteris","carthusiana","United States of America"
"Dryopteris campyloptera Clarkson",-80.51826,37.35949,"Dryopteris campyloptera Clarkson","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris campyloptera","Dryopteris","campyloptera","United States of America"
"Dryopteris campyloptera Clarkson",-80.51826,37.35949,"Dryopteris campyloptera Clarkson","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris campyloptera","Dryopteris","campyloptera","United States of America"
"Callitriche heterophylla Pursh",-80.51826,37.35949,"Callitriche heterophylla Pursh","Lamiales","Plantaginaceae","Callitriche","Callitriche heterophylla","Callitriche","heterophylla","United States of America"
"Viola cucullata Aiton",-80.51826,37.35949,"Viola cucullata Aiton","Malpighiales","Violaceae","Viola","Viola cucullata","Viola","cucullata","United States of America"
"Viola blanda Willd.",-80.51826,37.35949,"Viola blanda Willd.","Malpighiales","Violaceae","Viola","Viola blanda","Viola","blanda","United States of America"
"Aphyllon uniflorum A.Gray",-80.5172,37.37498,"Aphyllon uniflorum A.Gray","Lamiales","Orobanchaceae","Aphyllon","Aphyllon uniflorum","Aphyllon","uniflorum","United States of America"
"Polygonatum biflorum Elliott",-80.51826,37.35949,"Polygonatum biflorum Elliott","Asparagales","Asparagaceae","Polygonatum","Polygonatum biflorum","Polygonatum","biflorum","United States of America"
"Conopholis americana (L.) Wallr.",-80.5172,37.37498,"Conopholis americana (L.) Wallr.","Lamiales","Orobanchaceae","Conopholis","Conopholis americana","Conopholis","americana","United States of America"
"Glechoma hederacea L.",-80.5172,37.37498,"Glechoma hederacea L.","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Glechoma","hederacea","United States of America"
"Dryopteris campyloptera Clarkson",-80.51826,37.35949,"Dryopteris campyloptera Clarkson","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris campyloptera","Dryopteris","campyloptera","United States of America"
"Aesculus flava Sol.",-80.52567,37.37536,"Aesculus flava Sol.","Sapindales","Sapindaceae","Aesculus","Aesculus flava","Aesculus","flava","United States of America"
"Dryopteris campyloptera Clarkson",-80.51826,37.35949,"Dryopteris campyloptera Clarkson","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris campyloptera","Dryopteris","campyloptera","United States of America"
"Ranunculus bulbosus L.",-80.5172,37.37498,"Ranunculus bulbosus L.","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus bulbosus","Ranunculus","bulbosus","United States of America"
"Fragaria virginiana Mill.",-80.5172,37.37498,"Fragaria virginiana Mill.","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Fragaria","virginiana","United States of America"
"Uvularia sessilifolia L.",-80.51826,37.35949,"Uvularia sessilifolia L.","Liliales","Colchicaceae","Uvularia","Uvularia sessilifolia","Uvularia","sessilifolia","United States of America"
"Epipactis helleborine (L.) Crantz",-80.52567,37.37536,"Epipactis helleborine (L.) Crantz","Asparagales","Orchidaceae","Epipactis","Epipactis helleborine","Epipactis","helleborine","United States of America"
"Houstonia caerulea L.",-80.5172,37.37498,"Houstonia caerulea L.","Gentianales","Rubiaceae","Houstonia","Houstonia caerulea","Houstonia","caerulea","United States of America"
"Convallaria pseudomajalis W.Bartram",-80.51826,37.35949,"Convallaria pseudomajalis W.Bartram","Asparagales","Asparagaceae","Convallaria","Convallaria pseudomajalis","Convallaria","pseudomajalis","United States of America"
"Clintonia umbellulata (Michx.) Morong",-80.51826,37.35949,"Clintonia umbellulata (Michx.) Morong","Liliales","Liliaceae","Clintonia","Clintonia umbellulata","Clintonia","umbellulata","United States of America"
"Viola striata Aiton",-80.5172,37.37498,"Viola striata Aiton","Malpighiales","Violaceae","Viola","Viola striata","Viola","striata","United States of America"
"Osmunda claytoniana L.",-80.5172,37.37498,"Osmunda claytoniana L.","Osmundales","Osmundaceae","Claytosmunda","Claytosmunda claytoniana","Osmunda","claytoniana","United States of America"
"Dryopteris intermedia A.Gray",-80.51826,37.35949,"Dryopteris intermedia A.Gray","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris intermedia","Dryopteris","intermedia","United States of America"
"Cypripedium acaule Aiton",-80.522276,37.373031,"Cypripedium acaule Aiton","Asparagales","Orchidaceae","Cypripedium","Cypripedium acaule","Cypripedium","acaule","United States of America"
"Dryopteris campyloptera Clarkson",-80.51826,37.35949,"Dryopteris campyloptera Clarkson","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris campyloptera","Dryopteris","campyloptera","United States of America"
"Dryopteris intermedia A.Gray",-80.51826,37.35949,"Dryopteris intermedia A.Gray","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris intermedia","Dryopteris","intermedia","United States of America"
"Anemone quinquefolia L.",-80.5172,37.37498,"Anemone quinquefolia L.","Ranunculales","Ranunculaceae","Anemone","Anemone quinquefolia","Anemone","quinquefolia","United States of America"
