species,latitude,longitude,genus,epithet,family,order,country
Acer saccharum,44.04108,-71.275721,Acer,saccharum,Sapindaceae,Sapindales,United states
Acer rubrum,44.055938,-71.26039,Acer,rubrum,Sapindaceae,Sapindales,United states
Hamamelis virginiana l.,44.05327,-71.4043,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Rubus vermontanus,43.97408,-71.27017,Rubus,vermontanus,Rosaceae,Rosales,United states
Hieracium l.,44.0836,-71.3463,Hieracium,umbellatum,Asteraceae,Asterales,United states
Acer saccharum marshall,44.0857,-71.3458,Acer,saccharum,Sapindaceae,Sapindales,United states
Viburnum nudum,43.9867,-71.2307,Viburnum,nudum,Adoxaceae,Dipsacales,United states
Rudbeckia hirta,44.12179,-71.21355,Rudbeckia,hirta,Asteraceae,Asterales,United states
Ilex mucronata,44.0309,-71.26331,Ilex,mucronata,Aquifoliaceae,Aquifoliales,United states
Aralia racemosa,44.04426,-71.27705,Aralia,racemosa,Araliaceae,Apiales,United states
Aralia racemosa,44.04426,-71.27705,Aralia,racemosa,Araliaceae,Apiales,United states
Aralia hispida,44.04426,-71.27705,Aralia,hispida,Araliaceae,Apiales,United states
Aralia hispida,44.04426,-71.27705,Aralia,hispida,Araliaceae,Apiales,United states
Thalictrum pubescens,43.99618,-71.34975,Thalictrum,pubescens,Ranunculaceae,Ranunculales,United states
Triadenum fraseri,43.99618,-71.34975,Triadenum,fraseri,Hypericaceae,Malpighiales,United states
Hamamelis virginiana,43.99618,-71.34975,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Saponaria officinalis,44.12179,-71.21355,Saponaria,officinalis,Caryophyllaceae,Caryophyllales,United states
Plantago rugelii,44.12179,-71.21355,Plantago,rugelii,Plantaginaceae,Lamiales,United states
Erigeron canadensis,44.12179,-71.21355,Erigeron,canadensis,Asteraceae,Asterales,United states
Rumex obtusifolius,44.00242,-71.27781,Rumex,obtusifolius,Polygonaceae,Caryophyllales,United states
Fagus grandifolia,44.027035,-71.322506,Fagus,grandifolia,Fagaceae,Fagales,United states
Acer saccharum,44.027042,-71.322527,Acer,saccharum,Sapindaceae,Sapindales,United states
Acer rubrum,44.055024,-71.270591,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer pensylvanicum,44.055196,-71.270088,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Viburnum lantanoides,44.055125,-71.270279,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Fraxinus biltmoreana,44.055132,-71.270333,Fraxinus,americana,Oleaceae,Lamiales,United states
Acer spicatum,44.035402,-71.276694,Acer,spicatum,Sapindaceae,Sapindales,United states
Fraxinus americana,44.040977,-71.275769,Fraxinus,americana,Oleaceae,Lamiales,United states
Acer saccharum,44.055938,-71.269913,Acer,saccharum,Sapindaceae,Sapindales,United states
Frangula alnus p. mill.,44.07944,-71.24444,Frangula,alnus,Rhamnaceae,Rosales,United states
Utricularia intermedia,43.97408,-71.27017,Utricularia,intermedia,Lentibulariaceae,Lamiales,United states
Eurybia divaricata,43.97408,-71.27017,Eurybia,divaricata,Asteraceae,Asterales,United states
Myriophyllum tenellum,43.97408,-71.27017,Myriophyllum,tenellum,Haloragaceae,Saxifragales,United states
Ranunculus acris l.,44.07788,-71.37144,Ranunculus,tuberosus,Ranunculaceae,Ranunculales,United states
Rubus odoratus,44.03842,-71.17088,Rubus,odoratus,Rosaceae,Rosales,United states
Sambucus nigra ssp. canadensis,44.02657,-71.3228,Sambucus,nigra,Adoxaceae,Dipsacales,United states
Hieracium paniculatum,44.12179,-71.21355,Hieracium,paniculatum,Asteraceae,Asterales,United states
Rhus typhina,44.12179,-71.21355,Rhus,typhina,Anacardiaceae,Sapindales,United states
Frangula alnus,44.12179,-71.21355,Frangula,alnus,Rhamnaceae,Rosales,United states
Rubus laciniatus,44.00242,-71.27781,Rubus,laciniatus,Rosaceae,Rosales,United states
Ulmus rubra,44.00242,-71.27781,Ulmus,rubra,Ulmaceae,Rosales,United states
Ranunculus acris,44.00242,-71.27781,Ranunculus,tuberosus,Ranunculaceae,Ranunculales,United states
Betula nigra,44.00242,-71.27781,Betula,nigra,Betulaceae,Fagales,United states
Aronia melanocarpa,44.00242,-71.27781,Aronia,melanocarpa,Rosaceae,Rosales,United states
Nuphar variegata,44.0062,-71.27915,Nuphar,variegata,Nymphaeaceae,Nymphaeales,United states
Silphium asteriscus,44.0062,-71.27915,Silphium,asteriscus,Asteraceae,Asterales,United states
Ostrya virginiana,44.027449,-71.323003,Ostrya,virginiana,Betulaceae,Fagales,United states
Fraxinus americana,44.054113,-71.270418,Fraxinus,americana,Oleaceae,Lamiales,United states
Acer pensylvanicum,44.054221,-71.270139,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Acer rubrum,44.054685,-71.269978,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer rubrum,44.035629,-71.276319,Acer,rubrum,Sapindaceae,Sapindales,United states
Fagus grandifolia,44.036182,-71.276672,Fagus,grandifolia,Fagaceae,Fagales,United states
Acer rubrum,44.056082,-71.270044,Acer,rubrum,Sapindaceae,Sapindales,United states
Pseudognaphalium macounii,44.08019,-71.23305,Pseudognaphalium,macounii,Asteraceae,Asterales,United states
Solidago bicolor l.,44.0857,-71.3458,Solidago,bicolor,Asteraceae,Asterales,United states
Rubus junceus,43.979174,-71.241115,Rubus,junceus,Rosaceae,Rosales,United states
Acer rubrum,44.0857222,-71.3458333,Acer,rubrum,Sapindaceae,Sapindales,United states
Acer saccharum,44.0857222,-71.3458333,Acer,saccharum,Sapindaceae,Sapindales,United states
Ostrya virginiana,44.026496,-71.32276,Ostrya,virginiana,Betulaceae,Fagales,United states
Achillea millefolium,44.12179,-71.21355,Achillea,millefolium,Asteraceae,Asterales,United states
Rubus allegheniensis,44.04426,-71.27705,Rubus,allegheniensis,Rosaceae,Rosales,United states
Ilex verticillata,44.00242,-71.27781,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Alnus viridis,44.00242,-71.27781,Alnus,alnobetula,Betulaceae,Fagales,United states
Gaultheria procumbens,43.99618,-71.34975,Gaultheria,procumbens,Ericaceae,Ericales,United states
Monarda fistulosa,44.00242,-71.27781,Monarda,fistulosa,Lamiaceae,Lamiales,United states
Populus balsamifera,44.00242,-71.27781,Populus,deltoides,Salicaceae,Malpighiales,United states
Potentilla recta,44.00242,-71.27781,Potentilla,recta,Rosaceae,Rosales,United states
Sambucus racemosa,44.00242,-71.27781,Sambucus,racemosa,Adoxaceae,Dipsacales,United states
Asclepias syriaca,44.0062,-71.27915,Asclepias,syriaca,Apocynaceae,Gentianales,United states
Fagus grandifolia,44.027418,-71.322999,Fagus,grandifolia,Fagaceae,Fagales,United states
Acer pensylvanicum,44.055232,-71.270196,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Acer spicatum,44.035367,-71.276909,Acer,spicatum,Sapindaceae,Sapindales,United states
Fraxinus americana,44.035483,-71.277157,Fraxinus,americana,Oleaceae,Lamiales,United states
Cornus alternifolia,44.036181,-71.276724,Cornus,alternifolia,Cornaceae,Cornales,United states
Amelanchier bartramiana,44.055938,-71.269913,Amelanchier,bartramiana,Rosaceae,Rosales,United states
Apocynum androsaemifolium,44.08019,-71.23305,Apocynum,androsaemifolium,Apocynaceae,Gentianales,United states
Epifagus virginiana (l.) w.p.c. barton,44.0857,-71.3458,Epifagus,virginiana,Orobanchaceae,Lamiales,United states
Hamamelis virginiana l.,44.0857,-71.3458,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer spicatum lam.,44.03736,-71.29988,Acer,spicatum,Sapindaceae,Sapindales,United states
Verbena hastata,43.97408,-71.27017,Verbena,hastata,Verbenaceae,Lamiales,United states
Hamamelis virginiana,44.0857222,-71.3458333,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Betula papyrifera,44.026496,-71.32276,Betula,papyrifera,Betulaceae,Fagales,United states
Oclemena acuminata,44.02657,-71.3228,Oclemena,acuminata,Asteraceae,Asterales,United states
Apocynum androsaemifolium,44.02657,-71.3228,Apocynum,androsaemifolium,Apocynaceae,Gentianales,United states
Fragaria virginiana,44.02657,-71.3228,Fragaria,virginiana,Rosaceae,Rosales,United states
