species,latitude,longitude,genus,epithet,family,order,country
Hamamelis virginiana,37.375698000000000,-80.518486999999993,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Nyssa sylvatica,37.377898999999999,-80.522461000000007,Nyssa,sylvatica,Cornaceae,Cornales,United states
Acer rubrum,37.377856000000001,-80.522400000000005,Acer,rubrum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.373235999999999,-80.524957999999998,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Quercus rubra,37.370483999999998,-80.526022999999995,Quercus,rubra,Fagaceae,Fagales,United states
Vaccinium erythrocarpum,37.377020000000002,-80.517520000000005,Vaccinium,erythrocarpum,Ericaceae,Ericales,United states
Nyssa sylvatica,37.375729999999997,-80.521670000000000,Nyssa,sylvatica,Cornaceae,Cornales,United states
Cornus alternifolia,37.375779999999999,-80.524079999999998,Cornus,alternifolia,Cornaceae,Cornales,United states
Rhododendron calendulaceum,37.368330000000000,-80.521940000000001,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Pyrola americana,37.368330000000000,-80.521940000000001,Pyrola,americana,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.368459000000001,-80.521726000000001,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377530999999998,-80.521124999999998,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377530999999998,-80.521124999999998,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377530999999998,-80.521124999999998,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377530999999998,-80.521124999999998,Vaccinium,pallidum,Ericaceae,Ericales,United states
Magnolia acuminata,37.376423000000003,-80.525323000000000,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Hamamelis virginiana,37.378210000000003,-80.522580000000005,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Carya ovata,37.371881999999999,-80.524540999999999,Carya,ovata,Juglandaceae,Fagales,United states
Acer saccharum,37.371704999999999,-80.525903000000000,Acer,saccharum,Sapindaceae,Sapindales,United states
Acer saccharum,37.372166000000000,-80.525450000000006,Acer,saccharum,Sapindaceae,Sapindales,United states
Galax urceolata,37.374139999999997,-80.521069999999995,Galax,urceolata,Diapensiaceae,Ericales,United states
Robinia pseudoacacia,37.374560000000002,-80.522019999999998,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Lysimachia lanceolata,37.375639999999997,-80.522959999999998,Lysimachia,prolifera,Primulaceae,Ericales,United states
Apios americana,37.374820000000000,-80.522419999999997,Apios,americana,Fabaceae,Fabales,United states
Persicaria longiseta,37.375100000000003,-80.522900000000007,Persicaria,longiseta,Polygonaceae,Caryophyllales,United states
Gaultheria procumbens,37.377600000000001,-80.522800000000004,Gaultheria,procumbens,Ericaceae,Ericales,United states
Viola striata,37.374980000000001,-80.517200000000003,Viola,striata,Violaceae,Malpighiales,United states
Houstonia caerulea,37.374980000000001,-80.517200000000003,Houstonia,caerulea,Rubiaceae,Gentianales,United states
Aralia nudicaulis,37.359490000000001,-80.518259999999998,Aralia,nudicaulis,Araliaceae,Apiales,United states
Pinus strobus,37.376683000000000,-80.525283999999999,Pinus,strobus,Pinaceae,Pinales,United states
Tsuga caroliniana,37.375639999999997,-80.522959999999998,Tsuga,caroliniana,Pinaceae,Pinales,United states
Tsuga caroliniana,37.375779999999999,-80.524079999999998,Tsuga,caroliniana,Pinaceae,Pinales,United states
Tsuga canadensis,37.377378999999998,-80.522993999999997,Tsuga,canadensis,Pinaceae,Pinales,United states
Pinus strobus,37.376843000000001,-80.525315000000006,Pinus,strobus,Pinaceae,Pinales,United states
Tsuga canadensis,37.373761999999999,-80.524344999999997,Tsuga,canadensis,Pinaceae,Pinales,United states
Pinus strobus,37.377859999999998,-80.522369999999995,Pinus,strobus,Pinaceae,Pinales,United states
Tsuga canadensis,37.374800000000000,-80.526898000000003,Tsuga,canadensis,Pinaceae,Pinales,United states
Pinus strobus,37.373303000000000,-80.524708000000004,Pinus,strobus,Pinaceae,Pinales,United states
Tsuga canadensis,37.374642999999999,-80.526167999999998,Tsuga,canadensis,Pinaceae,Pinales,United states
Tsuga canadensis,37.374166000000002,-80.525645999999995,Tsuga,canadensis,Pinaceae,Pinales,United states
Pinus rigida,37.375660000000003,-80.525260000000003,Pinus,rigida,Pinaceae,Pinales,United states
Picea rubens,37.375729999999997,-80.521670000000000,Picea,rubens,Pinaceae,Pinales,United states
