species,latitude,longitude,genus,epithet,family,order,country
Monarda fistulosa,37.374969,-80.53663,Monarda,fistulosa,Lamiaceae,Lamiales,United states
Viburnum lantanoides,37.374969,-80.53663,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Quercus ilicifolia,37.374969,-80.53663,Quercus,ilicifolia,Fagaceae,Fagales,United states
Chaenorhinum minus,37.35024,-80.53736,Chaenorhinum,minus,Plantaginaceae,Lamiales,United states
Juglans nigra,37.33612,-80.55873,Juglans,nigra,Juglandaceae,Fagales,United states
Campanula divaricata,37.33612,-80.55873,Campanula,divaricata,Campanulaceae,Asterales,United states
Liriodendron tulipifera,37.37921,-80.56751,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,United states
Clematis virginiana,37.37921,-80.56751,Clematis,virginiana,Ranunculaceae,Ranunculales,United states
Quercus coccinea,37.37808,-80.5178,Quercus,coccinea,Fagaceae,Fagales,United states
Paronychia canadensis,37.4117,-80.50033,Paronychia,canadensis,Caryophyllaceae,Caryophyllales,United states
Verbena urticifolia,37.41338,-80.52209,Verbena,urticifolia,Verbenaceae,Lamiales,United states
Euthamia graminifolia,37.35907,-80.53492,Euthamia,graminifolia,Asteraceae,Asterales,United states
Rosa multiflora,37.3678,-80.5327,Rosa,multiflora,Rosaceae,Rosales,United states
Melilotus albus,37.3636,-80.5356,Melilotus,albus,Fabaceae,Fabales,United states
Monarda clinopodia,37.3543,-80.5386,Monarda,clinopodia,Lamiaceae,Lamiales,United states
Sambucus nigra ssp. canadensis,37.3497,-80.5372,Sambucus,nigra,Adoxaceae,Dipsacales,United states
Boykinia aconitifolia,37.3789,-80.515,Boykinia,acontifolia,Saxifragaceae,Saxifragales,United states
Galium triflorum,37.362,-80.5681,Galium,triflorum,Rubiaceae,Gentianales,United states
Aronia melanocarpa,37.41425,-80.51946,Aronia,melanocarpa,Rosaceae,Rosales,United states
Glechoma hederacea,37.37498,-80.5172,Glechoma,hederacea,Lamiaceae,Lamiales,United states
Callitriche heterophylla,37.35949,-80.51826,Callitriche,heterophylla,Plantaginaceae,Lamiales,United states
Aesculus flava,37.37536,-80.52567,Aesculus,flava,Sapindaceae,Sapindales,United states
Ilex montana,37.441526,-80.523235,Ilex,montana,Aquifoliaceae,Aquifoliales,United states
Magnolia tripetala,37.413735,-80.587843,Magnolia,tripetala,Magnoliaceae,Magnoliales,United states
Ageratina altissima var. roanensis,37.350126,-80.537282,Ageratina,altissima,Asteraceae,Asterales,United states
Astragalus canadensis,37.311383,-80.516074,Astragalus,canadensis,Fabaceae,Fabales,United states
Rhododendron calendulaceum,37.4090003967,-80.5930023193,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.36833,-80.52194,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Viola cucullata,37.43094,-80.5494,Viola,palustris,Violaceae,Malpighiales,United states
Lyonia ligustrina var. ligustrina,37.373703,-80.520868,Lyonia,ligustrina,Ericaceae,Ericales,United states
Trientalis borealis,37.373703,-80.520868,Trientalis,borealis,Primulaceae,Ericales,United states
Gaultheria procumbens,37.377531,-80.521125,Gaultheria,procumbens,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377531,-80.521125,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Actaea racemosa l.,37.35527,-80.53805,Actaea,racemosa,Ranunculaceae,Ranunculales,United states
Carya glabra,37.374375,-80.526143,Carya,glabra,Juglandaceae,Fagales,United states
Quercus alba,37.374302,-80.526816,Quercus,alba,Fagaceae,Fagales,United states
Robinia pseudoacacia,37.374269,-80.524346,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer saccharum,37.378773,-80.522638,Acer,saccharum,Sapindaceae,Sapindales,United states
Acer pensylvanicum,37.374285,-80.5257,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Monotropa uniflora,37.35925,-80.51839,Monotropa,uniflora,Ericaceae,Ericales,United states
Sambucus nigra ssp. canadensis,37.37456,-80.52202,Sambucus,nigra,Adoxaceae,Dipsacales,United states
Vaccinium fuscatum,37.37983,-80.51768,Vaccinium,fuscatum,Ericaceae,Ericales,United states
Aesculus flava,37.374969,-80.53663,Aesculus,flava,Sapindaceae,Sapindales,United states
Solidago arguta,37.374969,-80.53663,Solidago,arguta,Asteraceae,Asterales,United states
Rumex obtusifolius,37.35024,-80.53736,Rumex,obtusifolius,Polygonaceae,Caryophyllales,United states
Packera aurea,37.35024,-80.53736,Packera,aurea,Asteraceae,Asterales,United states
Hypericum punctatum,37.35024,-80.53736,Hypericum,punctatum,Hypericaceae,Malpighiales,United states
Vaccinium corymbosum,37.37702,-80.51752,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Amelanchier arborea,37.37626,-80.52015,Amelanchier,arborea,Rosaceae,Rosales,United states
Thalictrum coriaceum,37.41338,-80.52209,Thalictrum,coriaceum,Ranunculaceae,Ranunculales,United states
Thalictrum coriaceum,37.41338,-80.52209,Thalictrum,coriaceum,Ranunculaceae,Ranunculales,United states
Hypericum mutilum,37.35907,-80.53492,Hypericum,mutilum,Hypericaceae,Malpighiales,United states
Persicaria sagittata,37.35907,-80.53492,Persicaria,sagittata,Polygonaceae,Caryophyllales,United states
Rumex obtusifolius,37.3676,-80.5323,Rumex,obtusifolius,Polygonaceae,Caryophyllales,United states
Monotropa uniflora,37.3706,-80.5351,Monotropa,uniflora,Ericaceae,Ericales,United states
Heuchera villosa,37.3497,-80.5353,Heuchera,villosa,Saxifragaceae,Saxifragales,United states
Vaccinium corymbosum,37.3502,-80.5376,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Menispermum canadense,37.3406,-80.5682,Menispermum,canadense,Menispermaceae,Ranunculales,United states
Rhus typhina,37.3255,-80.594,Rhus,typhina,Anacardiaceae,Sapindales,United states
Hypericum punctatum,37.3585,-80.5701,Hypericum,punctatum,Hypericaceae,Malpighiales,United states
Oenothera biennis,37.362,-80.5681,Oenothera,biennis,Onagraceae,Myrtales,United states
Aralia racemosa,37.3557,-80.594,Aralia,racemosa,Araliaceae,Apiales,United states
Smallanthus uvedalia,37.3569,-80.5907,Smallanthus,uvedalia,Asteraceae,Asterales,United states
Persicaria virginiana,37.3547,-80.5956,Persicaria,virginiana,Polygonaceae,Caryophyllales,United states
Viola cucullata,37.41425,-80.51946,Viola,palustris,Violaceae,Malpighiales,United states
Rhododendron calendulaceum,37.40182,-80.50739,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Veronica officinalis,37.41425,-80.51946,Veronica,officinalis,Plantaginaceae,Lamiales,United states
Rhododendron periclymenoides,37.41069,-80.51929,Rhododendron,periclymenoides,Ericaceae,Ericales,United states
Salix humilis,37.39091,-80.50815,Salix,humilis,Salicaceae,Malpighiales,United states
Sambucus racemosa var. pubens,37.41349,-80.52222,Sambucus,racemosa,Adoxaceae,Dipsacales,United states
Zizia trifoliata,37.41349,-80.52222,Zizia,trifoliata,Apiaceae,Apiales,United states
Hydatica petiolaris,37.35007,-80.53696,Micranthes,petiolaris,Saxifragaceae,Saxifragales,United states
Fraxinus americana var. americana,37.35754,-80.53689,Fraxinus,americana,Oleaceae,Lamiales,United states
Vitis baileyana,37.3311,-80.5584,Vitis,cinerea,Vitaceae,Vitales,United states
Hypericum perforatum,37.373998,-80.523817,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Viburnum alnifolium marshall,37.4119444,-80.5227778,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Actaea racemosa l.,37.36,-80.53416,Actaea,racemosa,Ranunculaceae,Ranunculales,United states
Hypericum densiflorum pursh.,37.36,-80.53416,Hypericum,densiflorum,Hypericaceae,Malpighiales,United states
Solidago roanensis,37.355402,-80.519596,Solidago,roanensis,Asteraceae,Asterales,United states
Chenopodium album var. missouriense,37.294294,-80.495333,Chenopodium,album,Amaranthaceae,Caryophyllales,United states
Micranthes petiolaris,37.408333,-80.494444,Micranthes,petiolaris,Saxifragaceae,Saxifragales,United states
Asclepias exaltata,37.3725,-80.59633333,Asclepias,exaltata,Apocynaceae,Gentianales,United states
Vaccinium corymbosum,37.36833,-80.52194,Vaccinium,corymbosum,Ericaceae,Ericales,United states
